id;regiao_sigla;estado_sigla;municipio;revenda;cnpj;produto;data_coleta;valor_venda;valor_compra;unidade;bandeira
1;Electronics synthesizing;Cheese Dynamic Tala;navigate Representative Buckinghamshire;Avon Alabama;Soap Oklahoma navigating;District Guatemala Shoes;2020-08-20;89974;42034;synergistic;Accounts intangible
2;Buckinghamshire Handcrafted Cotton Bike;Graphic Interface Table sky blue;deposit EXE CFA Franc BEAC;Fields matrix payment;copy Idaho;JBOD vortals Falkland Islands (Malvinas);2020-08-20;59627;57933;magenta Fantastic;array analyzing Rapids
3;Metal violet;Incredible bypassing;maroon withdrawal;copy Planner;Senior Generic;Bedfordshire;2020-08-20;29531;66785;Supervisor Outdoors azure;Senior quantifying
4;Beauty payment white;clicks-and-mortar;solutions;Beauty Mauritius Rupee;Auto Loan Account primary Soft;red CFA Franc BCEAO;2020-08-20;73241;90109;payment Toys deploy;knowledge user markets withdrawal
5;Oklahoma parsing Supervisor;Sleek Metal Shoes Ergonomic Metal Towels;visionary Bike;synthesizing olive;back up Agent;Home Loan Account Cook Islands Frozen;2020-08-20;19257;90236;Borders Investment Account green;Designer bricks-and-clicks green
6;TCP;Checking Account Landing process improvement;connecting Salad hierarchy;HTTP bluetooth brand;Junctions Games;Baby Branding;2020-08-20;80759;59244;capacitor Concrete turn-key;hard drive interface
7;Home Plastic system;Ecuador Assurance;Aruban Guilder;Borders mobile;program;Grove;2020-08-20;92455;41542;SMS;SAS 3rd generation Bike
8;Front-line encompassing;Gateway;alarm Rufiyaa convergence;Robust Handcrafted Plastic Car;Legacy interface;Way;2020-08-20;66157;79751;Industrial Tasty Granite Computer;expedite Automotive
9;Ethiopian Birr Brazilian Real Baby;bus;RAM Cambridgeshire;Intelligent Plastic Chips Integration;Implemented;teal bandwidth array;2020-08-20;28492;24126;integrate Port;generate Branding
10;mint green zero administration;Macedonia;Money Market Account Bedfordshire;Tunnel;redefine Practical Soft Hat;Interactions;2020-08-20;66945;90013;Directives web services Bedfordshire;Bedfordshire
